,word,class
0,abundance,1
1,accelerate,1
2,accept,1
3,acclaim,1
4,accolade,1
5,accomplish,1
6,accord,1
7,accredit,1
8,accrue,1
9,ace,1
10,achieve,1
11,action,1
12,activate,1
13,active,1
14,add,1
15,addition,1
16,adept,1
17,admirable,1
18,adorable,1
19,advance,1
20,advantage,1
21,adventure,1
22,affable,1
23,affirm,1
24,ageless,1
25,agree,1
26,agreeable,1
27,aid,1
28,aim,1
29,alacrity,1
30,alert,1
31,alight,1
32,alive,1
33,all,1
34,altruistic,1
35,always,1
36,amaze,1
37,amazement,1
38,amazing,1
39,ambition,1
40,amiable,1
41,amity,1
42,amuse,1
43,anew,1
44,angel,1
45,appealing,1
46,applaud,1
47,appreciate,1
48,approve,1
49,arouse,1
50,art,1
51,as,1
52,ascend,1
53,aspire,1
54,assent,1
55,assert,1
56,assist,1
57,associate,1
58,assure,1
59,astir,1
60,astonish,1
61,attain,1
62,attempt,1
63,attention,1
64,attentive,1
65,attest,1
66,attraction,1
67,attribute,1
68,attune,1
69,augment,1
70,auspicious,1
71,authentic,1
72,available,1
73,avid,1
74,awake,1
75,award,1
76,aware,1
77,awash,1
78,awesome,1
79,aye,1
80,back,1
81,balance,1
82,balanced,1
83,beatific,1
84,beatify,1
85,beatitude,1
86,beau,1
87,beauteous,1
88,beautiful,1
89,beautify,1
90,beauty,1
91,become,1
92,befriend,1
93,begin,1
94,beginning,1
95,being,1
96,belief,1
97,believe,1
98,beloved,1
99,benedictory,1
100,benefaction,1
101,beneficial,1
102,benefit,1
103,benevolent,1
104,best,1
105,bestow,1
106,bet,1
107,better,1
108,betterment,1
109,beyond,1
110,big,1
111,big-hearted,1
112,bijou,1
113,bird,1
114,blasting,1
115,bless,1
116,blessed,1
117,blessing,1
118,bliss,1
119,blissful,1
120,bloom,1
121,blooming,1
122,blossom,1
123,bold,1
124,bombastic,1
125,bonafide,1
126,bonanza,1
127,bond,1
128,bonny,1
129,bonus,1
130,boom,1
131,boost,1
132,bountiful,1
133,bounty,1
134,box,1
135,brainy,1
136,brand-new,1
137,brave,1
138,bravery,1
139,bravo!,1
140,breakthrough,1
141,breathtaking,1
142,bright,1
143,brighten,1
144,brill,1
145,brilliant,1
146,brisk,1
147,briskly,1
148,bubbly,1
149,budding,1
150,buddy,1
151,build,1
152,bullish,1
153,cajole,1
154,calm,1
155,calming,1
156,calmly,1
157,calmness,1
158,campaign,1
159,campaigner,1
160,can,1
161,can-do,1
162,candescent,1
163,candid,1
164,candidly,1
165,candor,1
166,candy,1
167,cannily,1
168,canny,1
169,canteen,1
170,capability,1
171,capable,1
172,capably,1
173,capacious,1
174,capital,1
175,captain,1
176,captivate,1
177,captivating,1
178,care,1
179,cared,1
180,career,1
181,carefree,1
182,carefreeness,1
183,careful,1
184,carefully,1
185,carefulness,1
186,caress,1
187,caretaker,1
188,caring,1
189,cash,1
190,casual,1
191,casually,1
192,catalyst,1
193,catch,1
194,catching,1
195,catchy,1
196,cause,1
197,celebrate,1
198,celebrated,1
199,celebration,1
200,celebrator,1
201,celebratory,1
202,celebrity,1
203,celestial,1
204,center,1
205,centered,1
206,central,1
207,ceo,1
208,certain,1
209,certainly,1
210,certainty,1
211,chairperson,1
212,champ,1
213,champion,1
214,chance,1
215,change,1
216,changeable,1
217,changeless,1
218,chaperone,1
219,charisma,1
220,charismatic,1
221,charitable,1
222,charity,1
223,charm,1
224,charmed,1
225,charmer,1
226,charming,1
227,charmingly,1
228,chaste,1
229,cheap,1
230,cheeky,1
231,cheer,1
232,cheerful,1
233,cheerfully,1
234,cheerfulness,1
235,cheering,1
236,cheerio,1
237,cheers,1
238,cheery,1
239,chemistry,1
240,cherish,1
241,cherub,1
242,chic,1
243,chief,1
244,chieftain,1
245,child,1
246,childish,1
247,childlike,1
248,child’s,1
249,chipper,1
250,chirp,1
251,chirpy,1
252,chivalrous,1
253,chivalry,1
254,choice,1
255,choose,1
256,chortle,1
257,chosen,1
258,chuckle,1
259,chum,1
260,chummy,1
261,cinch,1
262,civic,1
263,civil,1
264,civility,1
265,civilize,1
266,civilized,1
267,clairvoyant,1
268,clarity,1
269,classic,1
270,classical,1
